L= 50  beta= 1.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t 	 E 	 mag_x 	 mag_z 	 corr 	 err
3.45	-55.39112508265123	-0.5582413925505496	670272570221309e-28	-22211996057196055e-21	1080951912392547e-28
3.5	-55.39113630029379	-0.5580843861405929	6611197354811863e-29	-22186951893749185e-21	21410607712311506e-29
3.55	-55.39114020514948	-0.5579129816215742	6157434520484388e-29	-22163687389175654e-21	40701883255558343e-29
3.6	-55.39113668083306	-0.5577543811476586	6379765253139002e-29	-22142176307755958e-21	7697683322646733e-28
3.65	-55.3911262112201	-0.5576324921725164	5704861089821447e-29	-22122349283725914e-21	1448137356256635e-27
3.7	-55.391109826424696	-0.5575644275630323	5971495880782197e-29	-22104126422927632e-21	26744490150632893e-28
3.75	-55.39108900762204	-0.5575582075470322	4898719505128796e-29	-2208744287880357e-20	4835640321549924e-27
3.8	-55.39106555921003	-0.5576119556432122	46841740216989856e-30	-22072265129282435e-21	8455349319723273e-27
3.85	-55.3910414589548	-0.5577146416665868	43725892251065233e-30	-22058597032985704e-21	14273191374560564e-27
3.9	-55.39101869821674	-0.5578481886320639	4069390224098468e-29	-2204643701330567e-20	2412659284628911e-26
3.95	-55.39099912463324	-0.5579905621910525	3582141636267189e-29	-22035753208589447e-21	40667679265873353e-27
4	-55.39098429922281	-0.5581193292096244	34125327753485243e-30	-22026483957986386e-21	6767934435335734e-26
4.05	-55.39097537854722	-0.5582151232758312	2825937556606272e-29	-22018510184923386e-21	11093000321026529e-26
4.1	-55.390973030382895	-0.5582644931437648	16934243517543503e-30	-22011639238420067e-21	17892440389110139e-26
4.15	-55.390977388801446	-0.5582617260050533	-4119138163156608e-30	-22005595132482883e-21	28488358423831193e-26
4.2	-55.39098805155862	-0.5582094103813258	-3458847520464853e-29	-22000013062585233e-21	45031414537009806e-26
4.25	-55.3910041193057	-0.5581177049355812	-7301492276187618e-29	-21994463923145085e-21	7082322609992332e-25
4.3	-55.39102427302151	-0.5580024780112813	-12912917331004033e-29	-21988508234551802e-21	11066041137965317e-25
4.35	-55.391046883462124	-0.55788264835731	-20431162458482005e-29	-21981749684039638e-21	17134235303993403e-25
4.4	-55.39107014405994	-0.5577771664895468	-2867776901501829e-28	-21973877312452037e-21	2622698083505377e-24
4.45	-55.391092216865665	-0.5577021140823377	-353140991926279e-27	-2196467647145308e-20	3958071761988605e-24
4.5	-55.39111137994553	-0.5576683625104277	-2633992606275101e-28	-21953940862749592e-21	5863564630854224e-24
4.55	-55.39112616486463	-0.5576801293969391	4565883261753445e-28	-2194123294119756e-20	8492229638374592e-24
