
# L= 80  beta= [2.0]  t_max= 30.0  steps= 2000,D= [60] #
t 	 E 	 mag
6.705	-76.86017934074633	-0.11282597888741827
6.72	-76.86017998992223	-0.11251735687139125
6.735	-76.86018063849988	-0.11220646612743762
6.75	-76.86018128602628	-0.11189443467907843
6.765	-76.86018193204583	-0.1115823877010031
6.78	-76.86018257609533	-0.11127144346176324
6.795	-76.86018321771165	-0.11096270931770402
6.81	-76.86018385643251	-0.11065727777248063
6.825	-76.86018449179153	-0.1103562226161888
6.84	-76.86018512332603	-0.110060595157785
6.855	-76.86018575057572	-0.10977142056396519
6.87	-76.8601863730826	-0.1094896943172576
6.885	-76.86018699039543	-0.10921637880552752
6.9	-76.86018760206714	-0.10895240005451441
6.915	-76.8601882076583	-0.10869864461445156
6.93	-76.86018880673811	-0.10845595661113422
6.945	-76.86018939888443	-0.10822513497115685
6.96	-76.8601899836864	-0.10800693083030702
6.975	-76.86019056074497	-0.10780204513338014
6.99	-76.86019112967217	-0.10761112643290098
7.005	-76.8601916900943	-0.1074347688934915
7.02	-76.8601922416533	-0.10727351050773676
7.035	-76.86019278400512	-0.10712783152867719
7.05	-76.86019331682208	-0.10699815312314914
7.065	-76.8601938397933	-0.10688483624938372
7.08	-76.86019435262675	-0.10678818076140212
7.095	-76.86019485504912	-0.10670842474191503
7.11	-76.86019534680412	-0.10664574406454459
7.125	-76.86019582765753	-0.10660025218537775
7.14	-76.86019629739347	-0.1065720001629645
7.155	-76.86019675581875	-0.1065609769050819
7.17	-76.86019720275839	-0.10656710963972865
7.185	-76.86019763806097	-0.10659026460702051
7.2	-76.86019806159652	-0.10663024796786412
7.215	-76.86019847325514	-0.10668680692451118
7.23	-76.86019887295048	-0.10675963104735577
7.245	-76.86019926061758	-0.10684835380161053
7.26	-76.86019963621098	-0.10695255426681254
7.275	-76.86019999971013	-0.10707175904145347
7.29	-76.8602003511156	-0.10720544432438658
7.305	-76.86020069044673	-0.10735303816408642
7.32	-76.8602010177445	-0.1075139228662969
7.335	-76.86020133307213	-0.10768743755005655
7.35	-76.86020163651114	-0.10787288084163887
7.365	-76.86020192816348	-0.10806951369553155
7.38	-76.86020220814811	-0.10827656233114416
