L= 50  beta= 0.5  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 10.0
# t 	 E 	 mag 	 corr 	 err
0.695	-260.3834032761641	-0.4733116026935634	-18451658375504808e-26	3031138228788447e-34
0.7	-260.8225776906619	-0.4743882485382639	-12946805720225737e-26	36815919878537442e-35
0.705	-261.2223188331861	-0.47496045112585994	-8209557729202082e-26	3268540676022016e-34
0.71	-261.585638322621	-0.4750071266871165	-4428208070970401e-26	2967163112071913e-34
0.715	-261.915365679101	-0.47453155962266536	-175131619982765e-25	3810010500379766e-34
0.72	-262.21416916592375	-0.47356112560426356	-28142981412673294e-28	3267426255177329e-34
0.725	-262.4845703993105	-0.47214586669534475	-7076144766852633e-28	36042002451788147e-35
0.73	-262.7289538276042	-0.4703559926186385	-1119002446026993e-26	3723372372421609e-34
0.735	-262.9495722264189	-0.4682784350424185	-33733686769044386e-27	34044549888866405e-35
0.74	-263.1485493239045	-0.4660126276941765	-6730878779356901e-26	3661267674465103e-34
0.745	-263.32788057945766	-0.46366572199377515	-11042771199330855e-26	3868527064821076e-34
0.75	-263.4894330079927	-0.4613474739729573	-1612087432432987e-25	27966851343263323e-35
0.755	-263.6349447868098	-0.4591650523347309	-217456577971393e-24	379584713149798e-33
0.76	-263.7660252174403	-0.4572180190476137	-27675617951285475e-26	3417007902480232e-34
0.765	-263.8841554530521	-0.45559372295007894	-3365758833406403e-25	36474886602034137e-35
0.77	-263.9906902512614	-0.4543633241655311	-3943752331361013e-25	4074412307321886e-34
0.775	-264.0868608801602	-0.4535786339845913	-4477127909542853e-25	3552033620181506e-34
0.78	-264.17377919470334	-0.4532699130451093	-4943491738335068e-25	36186927709240186e-35
0.785	-264.252442814171	-0.45344472232621635	-5323407794595223e-25	339694994646045e-33
0.79	-264.32374126813215	-0.45408786915098087	-5601201175699895e-25	41931562142404733e-35
0.795	-264.38846293726976	-0.45516243670530165	-5765593715643523e-25	329686978987756e-33
0.8	-264.44730259348	-0.45661183319634524	-5810144793516777e-25	38507022096286036e-35
0.805	-264.5008693380962	-0.4583627482528464	-5733481305956869e-25	32232404912554924e-35
0.81	-264.54969474372876	-0.46032886184017957	-5539309335346364e-25	39012327165152063e-35
0.815	-264.59424102118567	-0.46241511681098235	-5236209591499258e-25	28531448904593003e-35
0.82	-264.63490905443365	-0.4645223417850448	-4837230028871222e-25	34169271707854166e-35
0.825	-264.67204617109036	-0.4665519973944708	-43592950604117077e-26	40950884479237057e-35
0.83	-264.70595354087664	-0.46841081653631694	-3822460220567297e-25	3277827142163232e-34
0.835	-264.7368931183137	-0.4700151180775003	-32490456029782176e-26	41773627616097053e-35
0.84	-264.7650940672573	-0.47129459283747543	-2662686005378861e-25	331323547724172e-33
0.845	-264.79075862326533	-0.47219538950539935	-20873381207443857e-26	4054379781736603e-34
0.85	-264.8140673648802	-0.47268236485738624	-15462859061520854e-26	34743977321438073e-35
0.855	-264.835183877042	-0.4727404052938082	-10611845230930266e-26	42394395098867815e-35
0.86	-264.85425879925276	-0.4723747731263317	-6511810376772641e-26	36634357122380017e-35
0.865	-264.87143325903554	-0.4716104788759038	-3321465371543087e-26	38261868641411666e-35
0.87	-264.88684169722825	-0.4704907277328754	-11604964660946931e-27	386725869642371e-33
0.875	-264.9006140979445	-0.46907453201000093	-1049563878752227e-27	3659944950515649e-34
0.88	-264.9128776416545	-0.4674336198149276	-18448744909538443e-28	35531497018117935e-35
0.885	-264.92375780643	-0.4656488015106512	-13814795773679683e-27	39242322382298605e-35
0.89	-264.93337894936906	-0.4638059784279984	-3632188181354356e-26	4207757253572707e-34
0.895	-264.94186440826763	-0.46199199179424033	-6829756908454198e-26	3678480276959559e-34
0.9	-264.9493361719826	-0.46029051347645433	-10829011343097816e-26	32436064091085327e-35
0.905	-264.95591417669914	-0.45877817393126435	-15452815137552475e-26	33787249806479953e-35
0.91	-264.9617152940422	-0.4575211072108363	-2049971316549176e-25	2878022613302753e-34
0.915	-264.9668520845861	-0.45657206895152	-2575253075793629e-25	23874806443362722e-35
0.92	-264.9714313969945	-0.4559682523127698	-309875581166461e-24	30016961761289834e-35
0.925	-264.97555289733737	-0.45572989050073764	-35983923468498964e-26	3090621307959173e-34
0.93	-264.97930761521104	-0.4558596946938229	-40532754296484624e-26	4221025848003375e-34
0.935	-264.98277659208907	-0.45634313490521344	-44445738039837116e-26	2776758707257073e-34
0.94	-264.9860297134438	-0.45714953061784713	-4756272552738394e-25	36416166158025123e-35
0.945	-264.9891247980557	-0.4582338798799896	-4975806734846665e-25	2714321619566839e-34
0.95	-264.9921070074984	-0.45953932175911705	-5094543388972047e-25	36470783821800895e-35
0.955	-264.99500862441676	-0.46100009916086204	-5108094021974467e-25	2399199416101744e-34
