L= 50  beta= 0.0  t_max= 5.0  steps= 1000  D= 200  prec= 1.0e-20  delta= 0.1  [J0,h0,g0]= [1.0, 1.0, 0.0]
# t      E   mag_x   max_z   corr    err     entropy
1.95    -63.23361322932592  -0.6461281587042725 0.0037195551579005145   -0.17512083530162928    34253190482392503e-35   0.5250860966985019
1.975   -63.23360626756596  -0.6460935972471986 0.00202209000449476 -0.17512208274770735    31284126626333324e-35   0.5250428529403726
2   -63.23360175538513  -0.6460585122540511 0.0003179357262167327   -0.17511822275882957    33145135012480625e-35   0.5250055613392075
2.025   -63.23359969554646  -0.6460241756015312 -0.0013749707841912988  -0.1751091341024173 3249574493063301e-34    0.5249750201277629
2.05    -63.23360005703118  -0.6459918033759074 -0.0030390268494571515  -0.1750949306139017 3311522491229151e-34    0.5249517622863016
2.075   -63.23360277625991  -0.6459625103078349 -0.004657145254232954   -0.17507595252524305    338143183326922e-33 0.5249360555718237
2.1 -63.23360775876856  -0.6459372690548341 -0.006212926943203581   -0.17505274849236155    34951516043302226e-35   0.5249279119837598
2.125   -63.23361488130404  -0.6459168757693906 -0.00769082348577746    -0.17502604929867568    34517052908007047e-35   0.5249271059891903
2.15    -63.23362399430027  -0.6459019231283546 -0.009076287773470207   -0.17499673453237755    345929776485836e-33 0.524933200545363
2.175   -63.23363492468415  -0.6458927816972702 -0.010355911580248798   -0.1749657937738872 32196844233499e-32  0.5249455797083441
2.2 -63.23364747897119  -0.6458895901737263 -0.011517548791637912   -0.1749342840169673 3263186930562041e-34    0.5249634864099915
2.225   -63.233661446580605 -0.6458922547090925 -0.012550423291498471   -0.17490328515589235    3395104389939844e-34    0.5249860638292294
2.25    -63.23367660332906  -0.6459004571618602 -0.013445220685368233   -0.17487385539210534    33269172351989987e-35   0.5250123986819882
2.275   -63.23369271503647  -0.6459136718003273 -0.014194163232092253   -0.17484698837483886    33142621185165644e-35   0.5250415647142581
2.3 -63.23370954118475  -0.6459311896610613 -0.014791067549900266   -0.17482357374764024    32624318485911493e-35   0.5250726647058959
2.325   -63.233726838571386 -0.6459521494927024 -0.015231384856298578   -0.17480436260961124    33071010010692466e-35   0.5251048693801473
2.35    -63.233744364904965 -0.6459755739832316 -0.015512223691101952   -0.17478993915208232    340121980904209e-33 0.5251374517615127
2.375   -63.23376188228004  -0.6460004097898018 -0.015632355256805647   -0.17478069945642172    30951641700001753e-35   0.5251698157270496
2.4 -63.23377916048634  -0.6460255697705305 -0.015592201688052662   -0.1747768381176776 35015813658148213e-35   0.5252015177432283
2.425   -63.23379598010229  -0.6460499757604238 -0.015393807730886175   -0.17477834303057388    3425299115001919e-34    0.5252322810618988
2.45    -63.23381213532443  -0.6460726002399294 -0.015040796471042133   -0.17478499835253114    32688323859171556e-35   0.5252620019531582
2.475   -63.23382743650465  -0.6460925053143562 -0.014538309897421291   -0.1747963953283234 3356321528801841e-34    0.5252907478677956
2.5 -63.23384171235859  -0.6461088775504417 -0.013892935221026251   -0.17481195036976468    32305722075502084e-35   0.5253187477381875
2.525   -63.23385481181616  -0.6461210573983918 -0.013112617990348114   -0.17483092950292506    34662920204122695e-35   0.5253463749327243
2.55    -63.23386660550137  -0.646128562155505  -0.012206563149772115   -0.1748524780944226 33595792707058866e-35   0.5253741236654864
2.575   -63.23387698682969  -0.646131101691428  -0.01118512527918192    -0.1748756545685657 33292423661343833e-35   0.525402579918254
2.6 -63.233885872709536 -0.6461285864452225 -0.010059689328063207   -0.17489946673503382    3432481591248048e-34    0.5254323881449652
2.625   -63.233893203862536 -0.6461211275090627 -0.008842543217843571   -0.17492290926348797    3329537227666796e-34    0.5254642151884016
2.65    -63.23389894475623  -0.6461090289203065 -0.007546743730689304   -0.17494500085247555    33780673679717127e-35   0.5254987129395194
2.675   -63.2339030831743   -0.6460927725820393 -0.006185977131862609   -0.1749648196770608 35381453421693786e-35   0.5255364813097183
2.7 -63.23390562944381  -0.6460729965097979 -0.004774415987104998   -0.1749815358195014 3432104155012631e-34    0.5255780330694345
2.725   -63.23390661533429  -0.6460504673490179 -0.003326573635327486   -0.17499443952471666    34059249047014156e-35   0.5256237620376164
2.75    -63.23390609267437  -0.6460260483152019 -0.0018571577624677935  -0.17500296431923124    3440851701804503e-34    0.5256739159894624
2.775   -63.23390413170715  -0.6460006638686083 -0.000380924494092584   -0.1750067042486745 3444233998071961e-34    0.5257285754858826
2.8 -63.23390081922707  -0.6459752625426178 0.001087465616706266    -0.17500542473035563    3435882732099082e-34    0.5257876396168472
2.825   -63.23389625653755  -0.6459507793961136 0.0025335883816447365   -0.17499906677918195    34694348874758006e-35   0.5258508193927752
2.85    -63.233890557272865 -0.6459280995539709 0.003943392288603672    -0.1749877446017353 35162760264278486e-35   0.5259176392177509
2.875   -63.23388384511816  -0.6459080242371122 0.005303329143766285    -0.1749717368203131 34344137742533746e-35   0.5259874465446356
2.9 -63.233876251482805 -0.645891240567763  0.006600477937160642    -0.17495147181381296    3368257607881634e-34    0.526059429459667
2.925   -63.23386791315539  -0.6458782962714863 0.007822660913314981    -0.174927507868444  3391796081349203e-34    0.5261326415920375
2.95    -63.23385896999222  -0.6458695801924648 0.008958550923493937    -0.1749005090015625 33907238527051384e-35   0.5262060334125835
2.975   -63.23384956267099  -0.645865309300389  0.00999776923620417 -0.1748712174792219 34294753849562393e-35   0.5262784886959938
3   -63.23383983053888  -0.6458655226061699 0.010930973086715739    -0.1748404241208956 34421009450669113e-35   0.5263488646885561
3.025   -63.2338299096073   -0.6458700821300952 0.011749932353428107    -0.17480893756581387    34781352167364204e-35   0.5264160343607932
3.05    -63.2338199306949   -0.6458786807892416 0.012447594857909723    -0.17477755366609785    3430398691445317e-34    0.5264789290370498
3.075   -63.23381001776716  -0.645890856804471  0.013018139895174355    -0.1747470261554833 3437465027575624e-34    0.5265365796815231
3.1 -63.23380028647621  -0.6459060139780006 0.013457019710766854    -0.17471803965640031    3447749044880481e-34    0.5265881551794483
3.125   -63.23379084292081  -0.6459234469726963 0.013760988749719007    -0.17469118598881883    35095560894076147e-35   0.5266329960749615
3.15    -63.23378178264302  -0.6459423705402572 0.013928120610163245    -0.17466694459635215    3542466772420238e-34    0.5266706424051995
3.175   -63.233773189855214 -0.6459619515047056 0.013957812738607243    -0.17464566773521453    35772201172894984e-35   0.5267008544944599
3.2 -63.233765136909646 -0.6459813422150951 0.013850779006022992    -0.17462757088393668    34738533330986903e-35   0.5267236258333072
3.225   -63.23375768400405  -0.6459997141397757 0.013609030401389253    -0.17461272863024074    3400356780366356e-34    0.526739187457037
3.25    -63.233750879106964 -0.6460162902852017 0.013235844173467204    -0.17460107608031641    351719765175739e-33 0.526748003548483
3.275   -63.23374475811021  -0.6460303751842881 0.012735721840543439    -0.1745924156376612 3561906880061188e-34    0.5267507583131614
3.3 -63.233739345168274 -0.6460413813088342 0.012114336571788668    -0.17458642879769382    3529734633997472e-34    0.5267483345037697
3.325   -63.233734653236304 -0.646048850914458  0.011378470522561452    -0.17458269241977467    35506121592044077e-35   0.5267417842961215
3.35    -63.233730684756516 -0.6460524725159792 0.010535942778739526    -0.17458069879243948    3560706708993081e-34    0.5267322935306964
3.375   -63.23372743249078  -0.6460520914111182 0.009595528631885368    -0.17457987866904406    3603301538600636e-34    0.5267211406200187
3.4 -63.23372488046998  -0.6460477139095175 0.008566870967571801    -0.17457962635692278    3505911090272689e-34    0.5267096516688246
3.425   -63.23372300502863  -0.6460395051743606 0.007460384603130383    -0.17457932587547134    35268661016815382e-35   0.526699153545304
3.45    -63.23372177590514  -0.6460277808351257 0.006287154458420951    -0.17457837717389607    35752958367757067e-35   0.526690926762883
3.475   -63.233721157385105 -0.6460129927719194 0.005058828483688548    -0.1745762214079345 3548835639867341e-34    0.5266861600696487
3.5 -63.233721109447515 -0.6459957096956138 0.0037875063021308385   -0.17457236432537812    3529008591755815e-34    0.5266859085889487
3.525   -63.233721588913085 -0.6459765933452774 0.0024856245511615774   -0.17456639688109474    34857031960272787e-35   0.5266910572076512
3.55    -63.23372255054802  -0.6459563712867405 0.0011658399256231071   -0.17455801232147605    345823971198562e-33 0.526702290676085
3.575   -63.233723948115944 -0.6459358074189682 -0.0001590890616298111  -0.1745470191109438 35132870808616413e-35   0.5267200715788442
3.6 -63.23372573535843  -0.6459156713728139 -0.0014764205817929229  -0.1745333492338731 34703354986927495e-35   0.5267446269804347
3.625   -63.23372786688495  -0.6458967080173617 -0.002773547237291427   -0.1745170615811929 35793181811044444e-35   0.5267759441672166
3.65    -63.233730298953816 -0.6458796082720325 -0.004038112046272555   -0.1744983403154707 35719100944181115e-35   0.526813775521
3.675   -63.233732990144496 -0.6458649823589078 -0.005258121673950762   -0.17447748829415968    3587382278127544e-34    0.5268576521909337
3.7 -63.2337359019052   -0.6458533365218739 -0.006422055944403184   -0.17445491581531714    35241926779196162e-35   0.5269069058945327
3.725   -63.23373899896767  -0.6458450540925239 -0.007518972697895673   -0.17443112512122574    3503975221015911e-34    0.5269606978871888
3.75    -63.233742249641665 -0.6458403816031972 -0.008538607097289453   -0.17440669125683236    3531654505431382e-34    0.5270180538977661
3.775   -63.23374562597125  -0.64583942044174   -0.009471464532016596   -0.17438224000704988    35770858337873997e-35   0.5270779036399704
3.8 -63.23374910377096  -0.6458421243202134 -0.010308906320091236   -0.17435842374978783    35625866015901258e-35   0.5271391233748135
3.825   -63.23375266254278  -0.6458483025984111 -0.011043227466836494   -0.17433589613666145    36045812635965315e-35   0.52720057991945
3.85    -63.23375628527797  -0.645857629272303  -0.011667725802735078   -0.17431528655348114    3570342446270437e-34    0.5272611744709612
3.875   -63.23375995816878  -0.6458696572171169 -0.012176761893570675   -0.1742971753255608 35442055995994034e-35   0.5273198846390992
3.9 -63.233763670221315 -0.6458838370715354 -0.01256580919055484    -0.17428207060048265    3615639804110956e-34    0.527375803158925
3.925   -63.23376741281063  -0.6458995399735761 -0.012831493968963277   -0.17427038778189155    3562388307574235e-34    0.5274281718796648
3.95    -63.23377117916373  -0.645916083214054  -0.012971624687997113   -0.1742624322885738 36032927655017533e-35   0.527476409798238
